datetime,observed,predicted_06h,predicted_24h,predicted_48h
2023-04-21 05:00:00,324.0,327.9441253244877,338.1839639544487,320.98206973075867
2023-04-21 06:00:00,346.0,329.10763466358185,350.258080303669,335.95967042446136
2023-04-21 07:00:00,334.0,350.6478819847107,360.1560109257698,349.97768461704254
2023-04-21 08:00:00,447.0,381.5029419660568,386.6335178017616,376.7016119360924
2023-04-21 09:00:00,494.0,408.5488632321358,418.9838311076164,406.6498755216599
2023-04-21 10:00:00,456.0,415.7562971711159,431.6206802725792,415.49505895376205
2023-04-21 11:00:00,501.0,416.80039352178574,427.02951139211655,414.4689209461212
2023-04-21 12:00:00,422.0,412.9678432941437,421.17903155088425,404.49624478816986
2023-04-21 13:00:00,406.0,401.8102305531502,394.9510571360588,400.4407427310944
2023-04-21 14:00:00,348.0,407.3684661984444,399.0616047978401,395.1586772799492
2023-04-21 15:00:00,376.0,424.2326636314392,395.0121840238571,391.2751356363297
2023-04-21 16:00:00,380.0,425.7803073525429,403.0296277403832,439.4090337753296
2023-04-21 17:00:00,419.0,410.24525570869446,390.20434445142746,454.3683335185051
2023-04-21 18:00:00,344.0,350.6567897796631,336.07687073946,397.9723128080368
2023-04-21 19:00:00,247.0,322.9532191455364,317.2823084592819,328.42644530534744
2023-04-21 20:00:00,273.0,313.53905031085014,304.9896941781044,297.3800104856491
2023-04-21 21:00:00,336.0,314.4633196890354,309.0229838490486,304.7237736582756
2023-04-21 22:00:00,328.0,317.04800775647163,308.82712656259537,306.15206149220467
2023-04-21 23:00:00,291.0,324.23130214214325,311.9712926745415,304.6578788161278
2023-04-22 00:00:00,363.0,326.08853456377983,312.661446928978,303.9024578332901
2023-04-22 01:00:00,254.0,324.1693044602871,313.47408336400986,307.0981149971485
2023-04-22 02:00:00,323.0,322.8534918129444,310.92739617824554,313.3781960904598
2023-04-22 03:00:00,296.0,324.0683922767639,315.91170716285706,315.76368644833565
2023-04-22 04:00:00,320.0,325.79811760783195,311.981114089489,321.99070620536804
2023-04-22 05:00:00,322.0,325.4370664060116,313.47810900211334,325.2743563950062
2023-04-22 06:00:00,332.0,343.31903651356697,320.32098001241684,330.051204264164
2023-04-22 07:00:00,339.0,367.1329271197319,334.2742413878441,332.6647284626961
2023-04-22 08:00:00,409.0,397.9128989577293,381.7898757457733,351.21823781728745
2023-04-22 09:00:00,370.0,406.9648460149765,409.3714067339897,384.3442002236843
2023-04-22 10:00:00,301.0,412.153293967247,403.18831211328506,408.772043466568
2023-04-22 11:00:00,320.0,408.6321739554405,409.1214460134506,415.8890861272812
2023-04-22 12:00:00,306.0,400.754028737545,393.5785429477692,418.06709909439087
2023-04-22 13:00:00,394.0,389.56192684173584,385.5789719223976,394.4880659282208
2023-04-22 14:00:00,356.0,390.0814054608345,373.4802734851837,388.5255391597748
2023-04-22 15:00:00,327.0,381.18417423963547,372.1172952055931,382.9843196868897
2023-04-22 16:00:00,368.0,349.3106278181076,372.9374975562096,392.1189350783825
2023-04-22 17:00:00,364.0,322.3194238245487,364.7984567284584,377.1314986944199
2023-04-22 18:00:00,339.0,302.1185576915741,319.96852254867554,329.27131539583206
2023-04-22 19:00:00,288.0,303.85443568229675,296.651055932045,317.38723200559616
2023-04-22 20:00:00,326.0,299.1032548248768,298.88879680633545,299.4491028189659
2023-04-22 21:00:00,301.0,298.3823087215424,301.2945866584778,302.32657754421234
2023-04-22 22:00:00,354.0,302.4458906054497,306.6551948785782,301.2945295572281
2023-04-22 23:00:00,238.0,306.5842465758324,308.65953439474106,304.9808434844017
2023-04-23 00:00:00,250.0,309.99467581510544,317.7108818888664,305.9270968437195
2023-04-23 01:00:00,294.0,310.5883575081825,314.3857048153877,308.049207687378
2023-04-23 02:00:00,347.0,314.20025423169136,316.9635692834854,307.8201174736023
2023-04-23 03:00:00,332.0,313.72367292642593,312.5973507761955,316.436282068491
2023-04-23 04:00:00,289.0,316.5650453865528,314.36934530735016,315.54514569044113
2023-04-23 05:00:00,328.0,310.7480839788914,316.3575251698494,318.8013444542885
2023-04-23 06:00:00,279.0,308.65959149599075,324.59109711647034,321.4272167980671
2023-04-23 07:00:00,228.0,319.6302119195461,344.4001487493515,332.4592924416065
2023-04-23 08:00:00,324.0,340.54158890247345,376.9404950141907,367.11512580513954
2023-04-23 09:00:00,314.0,357.79290425777435,369.5684381723404,389.1113551557064
2023-04-23 10:00:00,254.0,362.8758291006088,353.5266700387001,384.8589679896832
2023-04-23 11:00:00,284.0,366.57684659957886,344.9570572376251,383.9969246983528
2023-04-23 12:00:00,292.0,354.7633118033409,338.7502370476723,371.365328848362
2023-04-23 13:00:00,302.0,338.49567967653275,348.51355147361755,360.9544862508774
2023-04-23 14:00:00,383.0,345.8588572740555,350.50844073295593,349.15325677394867
2023-04-23 15:00:00,386.0,342.0175562798977,349.75084990262985,353.6686522960663
2023-04-23 16:00:00,332.0,323.40805914998055,352.3513264656067,358.30758637189865
2023-04-23 17:00:00,330.0,317.16629299521446,341.29161381721497,348.02416521310806
2023-04-23 18:00:00,328.0,309.96048644185066,321.9351752400398,317.6539091169834
2023-04-23 19:00:00,244.0,304.794236600399,303.55419731140137,292.46581983566284
2023-04-23 20:00:00,330.0,310.60801461339,300.01680344343185,291.4828503727913
2023-04-23 21:00:00,326.0,309.0024845004082,298.0754466056824,295.92221558094025
2023-04-23 22:00:00,346.0,302.6262591779232,304.4730991721153,300.63740837574005
2023-04-23 23:00:00,332.0,302.1854089796543,297.97734665870667,301.92975240945816
2023-04-24 00:00:00,235.0,302.76906940341,294.2216832637787,311.7437441945076
2023-04-24 01:00:00,324.0,297.91947454214096,295.0835980772972,310.64177572727203
2023-04-24 02:00:00,330.0,299.68367475271225,300.2283350229264,316.2791679799557
